month,kind,id,thousand_m3_month
2025-08,demand,dist_comercial,163300
2025-08,demand,dist_entes_oficiales,68302
2025-08,demand,dist_gnc,166271
2025-08,demand,dist_industria,703450
2025-08,demand,dist_residencial,1.47265e+06
2025-08,demand,dist_subdistribuidor,101457
2025-08,demand,trans_centrales,468613
2025-08,demand,trans_industria,167186
2025-08,demand,trans_rtp,158881
2025-08,demand,trans_subdistribuidor,21787
2025-08,export,brasil_ypf_uruguayana,0
2025-08,export,chile_egs,0
2025-08,export,chile_gasandes,201202
2025-08,export,chile_methanex_ypf,2860
2025-08,export,chile_norandino,30
2025-08,export,uruguay_gas_link,293
2025-08,export,uruguay_petrouruguay,12
2025-08,supply,dist_otros,0
2025-08,supply,dist_propios,90868
2025-08,supply,tgn_neuquina,1.12043e+06
2025-08,supply,tgn_noroeste,169300
2025-08,supply,tgn_otros,228582
2025-08,supply,tgs_austral,771515
2025-08,supply,tgs_neuquina,2.23069e+06
2025-08,supply,tgs_otros,0
2025-08,supply,tgs_san_jorge,60976
2025-09,demand,dist_centrales,342543
2025-09,demand,dist_comercial,136469
2025-09,demand,dist_entes_oficiales,52738
2025-09,demand,dist_gnc,162568
2025-09,demand,dist_industria,727760
2025-09,demand,dist_residencial,1.05715e+06
2025-09,demand,dist_subdistribuidor,71700
2025-09,demand,trans_centrales,317623
2025-09,demand,trans_industria,148000
2025-09,demand,trans_rtp,143053
2025-09,demand,trans_subdistribuidor,16745
2025-09,export,brasil_ypf_uruguayana,0
2025-09,export,chile_egs,215
2025-09,export,chile_gasandes,106514
2025-09,export,chile_methanex_ypf,5571
2025-09,export,chile_norandino,194
2025-09,export,uruguay_gas_link,1089
2025-09,export,uruguay_petrouruguay,10
2025-09,supply,dist_otros,0
2025-09,supply,dist_propios,71564
2025-09,supply,tgn_neuquina,902672
2025-09,supply,tgn_noroeste,101098
2025-09,supply,tgn_otros,21157
2025-09,supply,tgs_austral,700623
2025-09,supply,tgs_neuquina,1.81978e+06
2025-09,supply,tgs_otros,0
2025-09,supply,tgs_san_jorge,62998
2025-10,demand,dist_centrales,327363
2025-10,demand,dist_comercial,99588
